"subject","Acc_avg","RT_avg","cong_Acc_avg","incong_Acc_avg","corr_cong_RT_avg","corr_incong_RT_avg","err_cong_RT_avg","err_incong_RT_avg","num_corr_cong_trials","num_corr_incong_trials","num_err_cong_trials","num_err_incong_trials","PE_Acc_avg","PC_Acc_avg","PE_RT_avg","PC_RT_avg","PE_corr_RT_avg","PC_corr_RT_avg","num_PE_trials","num_PC_trials"
5202,0.948387096774194,787.574193548387,0.987654320987654,0.905405405405405,693.10625,911.597014925373,418,732.928571428571,160,134,2,14,NA,0.983333333333333,NA,784.625,NA,782.805084745763,13,120
5204,0.691616766467066,358.038922155689,0.819277108433735,0.56547619047619,360.691176470588,421.115789473684,257.633333333333,312.27397260274,136,95,30,73,0.639344262295082,0.719101123595506,315.72131147541,368.921348314607,353,387.140625,61,89
5206,0.832369942196532,448.109826589595,0.942196531791908,0.722543352601156,443.644171779141,505.216,314.7,342.354166666667,163,125,10,48,0.886363636363636,0.852459016393443,462.909090909091,449.696721311475,485.25641025641,471,44,122
5207,0.936416184971098,616.433526011561,0.908045977011494,0.965116279069767,611.221518987342,604.174698795181,750.75,734.666666666667,158,166,16,6,NA,0.943396226415094,NA,607.345911949686,NA,596.546666666667,5,159
5208,0.893939393939394,654.869696969697,0.958579881656805,0.826086956521739,609.481481481482,709.578947368421,648.714285714286,659.142857142857,162,133,7,28,0.791666666666667,0.928,885.333333333333,630.496,855.263157894737,631.181034482759,24,125
5212,0.950146627565982,602.651026392962,0.982352941176471,0.91812865497076,561.718562874251,662.331210191083,603.333333333333,421.5,167,157,3,14,NA,0.965753424657534,NA,589.36301369863,NA,597.77304964539,12,146
5213,0.842767295597484,558.921383647799,0.901234567901235,0.782051282051282,545.390410958904,651.532786885246,371.9375,372.705882352941,146,122,16,34,0.666666666666667,0.916666666666667,452.407407407407,602,492.222222222222,622.252525252525,27,108
5214,0.87956204379562,1039.97810218978,0.99390243902439,0.709090909090909,NA,NA,NA,NA,163,78,1,32,0.884615384615385,0.920634920634921,NA,NA,1058.60869565217,1055.81034482759,26,63
5215,0.919540229885057,645.772988505747,0.96551724137931,0.873563218390805,626.428571428571,700.546052631579,462.5,465.045454545455,168,152,6,22,0.9,0.945205479452055,825.15,633.438356164384,868.277777777778,641.652173913043,20,146
5217,0.677914110429448,427.644171779141,0.734567901234568,0.621951219512195,458,471.156862745098,357.790697674419,346.241935483871,119,102,43,62,0.690909090909091,0.688172043010753,429.763636363636,417.451612903226,471.236842105263,446.796875,55,93
5218,0.868571428571429,390.622857142857,0.960227272727273,0.775862068965517,377.236686390533,427.444444444444,277.857142857143,341.410256410256,169,135,7,39,0.921052631578947,0.906976744186046,433.342105263158,391.62015503876,439.971428571429,398.74358974359,38,129
5219,0.942073170731707,680.536585365854,0.952941176470588,0.930379746835443,660.765432098765,708.408163265306,777.5,528.727272727273,162,147,8,11,NA,0.970802919708029,NA,679.649635036496,NA,690.203007518797,10,137
5222,0.85632183908046,446.997126436782,0.936781609195402,0.775862068965517,416.852760736196,499.348148148148,549.545454545455,362.846153846154,163,135,11,39,0.783783783783784,0.923076923076923,491.081081081081,436.223076923077,508.689655172414,443.9,37,130
5223,0.689855072463768,653.857971014493,0.908571428571429,NA,583.006289308176,789.759493670886,575.0625,673.527472527473,159,79,16,91,0.606741573033708,0.743243243243243,639.14606741573,725.472972972973,652.407407407407,716.145454545455,89,74
5225,0.845930232558139,467.031976744186,0.901734104046243,0.789473684210526,469.326923076923,511.711111111111,318,359.916666666667,156,135,17,36,0.96875,0.844961240310077,571.8125,459.782945736434,578.290322580645,482.440366972477,32,129
5227,0.909090909090909,834.531468531468,0.98159509202454,0.813008130081301,727.65,939.72,NA,NA,160,100,3,23,NA,0.888888888888889,NA,809.111111111111,NA,773.291666666667,17,81
5228,0.98567335243553,537.180515759312,0.988571428571429,0.982758620689655,523.624277456647,556.877192982456,348,322.333333333333,173,171,2,3,NA,0.981818181818182,NA,534.448484848485,NA,538.061728395062,1,165
5232,0.89375,581,0.866666666666667,0.92258064516129,589.468531468532,606.986013986014,430.454545454545,446.416666666667,143,143,22,12,NA,0.875,NA,584.84375,NA,600.241071428571,8,128
5233,0.849673202614379,738.761437908497,0.895061728395062,0.798611111111111,726.427586206897,785.434782608696,553.529411764706,723.931034482759,145,115,17,29,0.619047619047619,0.854368932038835,762.809523809524,697.970873786408,861.923076923077,719.795454545455,21,103
5235,0.839181286549708,530.505847953216,0.912790697674419,0.764705882352941,495.509554140127,629.830769230769,352.6,411.775,157,130,15,40,0.941176470588235,0.816,789.794117647059,490.84,795.75,509.686274509804,34,125
5236,0.759643916913947,415.976261127596,0.842105263157895,0.674698795180723,419.694444444444,471.098214285714,335.222222222222,332.111111111111,144,112,27,54,0.895833333333333,0.764150943396226,497.583333333333,401.820754716981,504.093023255814,429,48,106
5240,0.946902654867257,525.861356932153,0.958823529411765,0.93491124260355,500.668711656442,558.639240506329,479.285714285714,458,163,158,7,11,NA,0.966666666666667,NA,524,NA,526.793103448276,9,150
