"subject","cong_Acc_avg","incong_Acc_avg","corr_cong_RT_avg","corr_incong_RT_avg","err_cong_RT_avg","err_incong_RT_avg","num_corr_cong_trials","num_corr_incong_trials","num_err_cong_trials","num_err_incong_trials"
5202,0.987654320987654,0.905405405405405,693.10625,911.597014925373,418,732.928571428571,68,61,0,4
5204,0.819277108433735,0.56547619047619,360.691176470588,421.115789473684,257.633333333333,312.27397260274,66,37,18,29
5206,0.942196531791908,0.722543352601156,443.644171779141,505.216,314.7,342.354166666667,82,61,8,15
5207,0.908045977011494,0.965116279069767,611.221518987342,604.174698795181,750.75,734.666666666667,82,72,8,2
5208,0.958579881656805,0.826086956521739,609.481481481482,709.578947368421,648.714285714286,659.142857142857,76,59,3,11
5212,0.982352941176471,0.91812865497076,561.718562874251,662.331210191083,603.333333333333,421.5,83,70,0,5
5213,0.901234567901235,0.782051282051282,545.390410958904,651.532786885246,371.9375,372.705882352941,72,45,9,9
5214,0.99390243902439,0.709090909090909,NA,NA,NA,NA,56,25,0,8
5215,0.96551724137931,0.873563218390805,626.428571428571,700.546052631579,462.5,465.045454545455,82,74,2,8
5217,0.734567901234568,0.621951219512195,458,471.156862745098,357.790697674419,346.241935483871,58,44,20,26
5218,0.960227272727273,0.775862068965517,377.236686390533,427.444444444444,277.857142857143,341.410256410256,79,73,2,13
5219,0.952941176470588,0.930379746835443,660.765432098765,708.408163265306,777.5,528.727272727273,70,71,2,4
5222,0.936781609195402,0.775862068965517,416.852760736196,499.348148148148,549.545454545455,362.846153846154,81,68,5,13
5223,0.908571428571429,NA,583.006289308176,789.759493670886,575.0625,673.527472527473,71,38,12,42
5225,0.901734104046243,0.789473684210526,469.326923076923,511.711111111111,318,359.916666666667,79,61,9,12
5227,0.98159509202454,0.813008130081301,727.65,939.72,NA,NA,53,31,2,12
5228,0.988571428571429,0.982758620689655,523.624277456647,556.877192982456,348,322.333333333333,84,79,2,1
5232,0.866666666666667,0.92258064516129,589.468531468532,606.986013986014,430.454545454545,446.416666666667,62,57,13,4
5233,0.895061728395062,0.798611111111111,726.427586206897,785.434782608696,553.529411764706,723.931034482759,57,44,12,11
5235,0.912790697674419,0.764705882352941,495.509554140127,629.830769230769,352.6,411.775,76,58,9,16
5236,0.842105263157895,0.674698795180723,419.694444444444,471.098214285714,335.222222222222,332.111111111111,71,53,17,13
5240,0.958823529411765,0.93491124260355,500.668711656442,558.639240506329,479.285714285714,458,85,68,3,3
5241,0.964705882352941,0.528735632183908,543.853658536585,669.445652173913,471.666666666667,542.987804878049,88,33,2,39
5243,0.902597402597403,0.635761589403974,833.892086330935,884.270833333333,727.266666666667,885.309090909091,56,42,8,23
5245,0.903409090909091,0.885057471264368,541.566037735849,569.012987012987,341.117647058824,338.9,75,76,10,8
5248,0.851190476190476,0.752941176470588,418.265734265734,462.2109375,335,330.095238095238,71,61,13,14
5249,0.888235294117647,0.766081871345029,695.748344370861,731.931297709924,495.684210526316,553.4,79,57,11,17
5251,0.736526946107784,0.709090909090909,667.983739837398,671.598290598291,590.113636363636,538.708333333333,62,46,23,22
5252,0.901162790697674,0.765060240963855,494.522580645161,539.047244094488,346.411764705882,416.564102564103,69,55,9,21
5253,0.805031446540881,0.515527950310559,464.6015625,517.867469879518,368.322580645161,412.641025641026,56,34,19,27
5255,0.835443037974684,0.563758389261745,694.022727272727,861.928571428571,554.384615384615,620.723076923077,48,30,15,27
5258,0.931818181818182,0.725146198830409,555.182926829268,666.66935483871,579.916666666667,477.68085106383,81,59,7,13
5260,0.920454545454545,0.885057471264368,512.913580246914,584.993506493507,522.357142857143,352.35,77,73,10,6
