variable,description,detail,allowedSuffix,ValueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
subject,ID number for the participant,subject numbers pulled from all available behavioral flanker .txt files,NA,Integer,"[0,inf]",NA,NA,1,NA,direct
age,Age of child at PRE timepoint,NA,NA,Integer,"[0,inf]",NA,NA,1,NA,direct
SCARED_01_Ch_PRE,"SCARED child self-report at PRE timepoint, question 1","When I feel frightened, it is hard to breathe. ",NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_02_Ch_PRE,"SCARED child self-report at PRE timepoint, question 2",I get headaches when I am at school. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_03_Ch_PRE,"SCARED child self-report at PRE timepoint, question 3",I don’t like to be with people I don’t know well. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_04_Ch_PRE,"SCARED child self-report at PRE timepoint, question 4",I get scared if I sleep away from home. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_05_Ch_PRE,"SCARED child self-report at PRE timepoint, question 5",I worry about other people liking me. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_06_Ch_PRE,"SCARED child self-report at PRE timepoint, question 6","When I get frightened, I feel like passing out. ",NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_07_Ch_PRE,"SCARED child self-report at PRE timepoint, question 7",I am nervous. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_08_Ch_PRE,"SCARED child self-report at PRE timepoint, question 8",I follow my mother or father wherever they go. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_09_Ch_PRE,"SCARED child self-report at PRE timepoint, question 9",People tell me that I look nervous. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_10_Ch_PRE,"SCARED child self-report at PRE timepoint, question 10",I feel nervous with people I don’t know well. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_11_Ch_PRE,"SCARED child self-report at PRE timepoint, question 11",I get stomachaches at school. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_12_Ch_PRE,"SCARED child self-report at PRE timepoint, question 12","When I get frightened, I feel like I am going crazy. ",NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_13_Ch_PRE,"SCARED child self-report at PRE timepoint, question 13",I worry about sleeping alone. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_14_Ch_PRE,"SCARED child self-report at PRE timepoint, question 14",I worry about being as good as other kids. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_15_Ch_PRE,"SCARED child self-report at PRE timepoint, question 15","When I get frightened, I feel like things are not real. ",NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_16_Ch_PRE,"SCARED child self-report at PRE timepoint, question 16",I have nightmares about something bad happening to my parents. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_17_Ch_PRE,"SCARED child self-report at PRE timepoint, question 17",I worry about going to school.,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_18_Ch_PRE,"SCARED child self-report at PRE timepoint, question 18","When I get frightened, my heart beats fast.",NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_19_Ch_PRE,"SCARED child self-report at PRE timepoint, question 19",I get shaky.,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_20_Ch_PRE,"SCARED child self-report at PRE timepoint, question 20",I have nightmares about something bad happening to me. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_21_Ch_PRE,"SCARED child self-report at PRE timepoint, question 21",I worry about things working out for me. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_22_Ch_PRE,"SCARED child self-report at PRE timepoint, question 22","When I get frightened, I sweat a lot.",NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_23_Ch_PRE,"SCARED child self-report at PRE timepoint, question 23",I am a worrier.,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_24_Ch_PRE,"SCARED child self-report at PRE timepoint, question 24",I get really frightened for no reason at all. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_25_Ch_PRE,"SCARED child self-report at PRE timepoint, question 25",I am afraid to be alone in the house. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_26_Ch_PRE,"SCARED child self-report at PRE timepoint, question 26",It is hard for me to talk with people I don’t know well. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_27_Ch_PRE,"SCARED child self-report at PRE timepoint, question 27","When I get frightened, I feel like I am choking.",NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_28_Ch_PRE,"SCARED child self-report at PRE timepoint, question 28",People tell me that I worry too much.,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_29_Ch_PRE,"SCARED child self-report at PRE timepoint, question 29",I don’t like to be away from my family. ,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
SCARED_30_Ch_PRE,"SCARED child self-report at PRE timepoint, question 30",I am afraid of having anxiety (or panic) attacks.,NA,Likert/catagorical,"0,1,2","0, Not True or Hardly Ever True | 1, Somewhat True or Sometimes True | 2, Very True or Often True",NA,1,NA,direct
