"subject","flankerLength"
5184,352
5202,352
5203,352
5204,352
5205,352
5206,352
5207,352
5208,352
5209,352
5210,352
5212,352
5213,352
5214,352
5215,352
5216,352
5217,352
5218,352
5219,352
5221,352
5222,352
5223,352
5224,352
5225,352
5226,352
5227,352
5228,352
5230,352
5232,352
5233,352
5235,352
5236,352
5238,352
5240,352
5241,352
5242,352
5243,352
5244,352
5245,352
5246,352
5248,352
5249,352
5250,352
5251,352
5252,352
5253,352
5255,352
5257,352
5258,352
5259,352
5260,352
5263,352
5264,352
5265,352
5266,352
5267,352
5268,352
5269,352
5270,352
5271,352
5272,352
5273,352
5275,352
5277,352
5278,352
5279,352
5281,352
5282,352
5283,352
5287,352
5291,352
5292,352
5293,352
5295,352
5300,352
5301,352
5303,352
5304,352
5306,352
5307,352
5308,352
5309,352
5311,352
5312,352
5313,352
5316,352
5326,352
5327,352
5328,352
5329,352
5332,352
5333,352
5334,352
5336,352
5340,352
5341,352
5343,352
5344,352
5346,352
5348,352
5349,352
5352,352
5353,352
5354,352
5355,352
5357,352
5358,352
5359,352
5360,352
5361,352
5362,352
5364,352
5365,352
5366,352
5367,352
5368,352
5370,352
5371,352
5373,352
5374,352
5375,352
5377,352
5379,352
5380,352
5381,352
5383,352
5384,352
5388,352
5389,352
5390,352
5393,352
5394,352
5395,352
5396,352
5400,352
5401,352
5402,352
5412,352
5413,352
5414,352
5415,352
5419,352
5423,352
5427,352
5428,352
5430,352
5435,352
5438,352
5440,352
5443,352
5444,352
5447,352
5455,352
5457,352
5459,352
5460,352
5464,352
5465,352
5469,352
5475,352
5477,352
5479,352
5481,352
5482,352
5505,352
5398,352
5404,352
5405,352
5409,352
5418,352
5422,352
5429,352
5432,352
5433,352
5434,352
5436,352
5437,352
5441,352
5442,352
5445,352
5446,352
5448,352
5449,352
5450,352
5458,352
5462,352
5463,352
5470,352
5472,352
5474,352
5478,352
5480,352
5483,352
5484,352
5486,352
5489,352
5490,352
5493,352
5494,352
5496,352
5497,352
5499,352
5501,352
5504,352
5506,352
5507,352
5510,352
5512,352
5514,352
5515,352
5516,352
5519,352
5220,352
5310,352
5335,352
